id,date,time,incident_type,point_x,point_y,longitude,latitude
66,1/10/2013 0:00:00,"23:00:00",7,229283.72,262380.09,-66.1561969567,18.3967319792
67,1/4/2013 0:00:00,"09:59:00",5,234733.89,256453.25,-66.1047181909,18.3431033541
68,1/5/2013 0:00:00,"06:00:00",6,215448.65,269748.49,-66.2870740379,18.4634471414
69,1/11/2013 0:00:00,"21:00:00",7,211944.36,263858.30,-66.3202851392,18.4102539958
70,1/10/2013 0:00:00,"16:00:00",6,230384.16,262105.72,-66.1457866652,18.3942378102
71,1/10/2013 0:00:00,"01:30:00",5,203117.71,271541.87,-66.403813832,18.479703004
72,1/4/2013 0:00:00,"02:06:00",5,229846.76,261140.94,-66.150886534,18.3855288995
73,1/13/2013 0:00:00,"15:30:00",4,216279.89,258086.19,-66.2792971964,18.3580762396
74,1/11/2013 0:00:00,"17:00:00",6,211950.37,264708.40,-66.3202232873,18.4179343124
75,1/6/2013 0:00:00,"22:00:00",6,225535.14,261774.46,-66.1916804293,18.3913082895
76,1/4/2013 0:00:00,"19:24:00",6,228630.65,267041.31,-66.1623122077,18.4388532043
77,1/4/2013 0:00:00,"15:00:00",3,216303.25,265882.28,-66.2790140068,18.4285111663
78,1/10/2013 0:00:00,"13:30:00",6,204971.16,267639.07,-66.3862742562,18.4444393751
79,1/13/2013 0:00:00,"22:00:00",7,227918.89,261704.50,-66.1691226931,18.3906464771
80,1/11/2013 0:00:00,"19:00:00",7,229208.80,262039.55,-66.1569108513,18.3936563387
81,1/4/2013 0:00:00,"22:45:00",3,217477.26,249727.99,-66.26803938,18.282552443
82,1/10/2013 0:00:00,"15:00:00",7,228725.68,265233.42,-66.1614380542,18.4225183495
83,1/4/2013 0:00:00,"09:30:00",7,225956.11,267570.94,-66.1876229611,18.4436722897
84,1/4/2013 0:00:00,"17:00:00",6,227939.29,260572.64,-66.168945103,18.3804202232
85,1/9/2013 0:00:00,"03:30:00",7,216977.83,269884.99,-66.272595478,18.4646687789
86,1/5/2013 0:00:00,"14:00:00",6,227918.89,261704.50,-66.1691226931,18.3906464771
87,1/13/2013 0:00:00,"10:00:00",6,204971.16,267639.07,-66.3862742562,18.4444393751
88,1/14/2013 0:00:00,"04:45:00",6,218917.76,266322.88,-66.2542621522,18.432470316
89,1/4/2013 0:00:00,"20:30:00",7,228725.68,265233.42,-66.1614380542,18.4225183495
90,1/10/2013 0:00:00,"11:00:00",6,204971.16,267639.07,-66.3862742562,18.4444393751
91,1/14/2013 0:00:00,"20:00:00",6,226790.29,260740.61,-66.1798158229,18.3819524585
92,1/7/2013 0:00:00,"09:14:00",6,227783.82,262318.07,-66.1703925898,18.3961916328
93,1/10/2013 0:00:00,"18:50:00",7,211708.39,263801.16,-66.3225188197,18.4097390591
94,1/12/2013 0:00:00,"20:00:00",4,226126.08,257948.27,-66.1861369295,18.3567327138
95,1/8/2013 0:00:00,"13:00:00",6,216080.68,264605.42,-66.2811308002,18.4169768928
96,1/11/2013 0:00:00,"12:00:00",7,211944.36,263858.30,-66.3202851392,18.4102539958
97,1/9/2013 0:00:00,"16:30:00",6,233046.21,262755.03,-66.1205833666,18.4000646819
98,1/8/2013 0:00:00,"19:30:00",6,232118.87,261829.51,-66.1293742531,18.3917170334
99,1/12/2013 0:00:00,"23:30:00",6,225585.18,259237.01,-66.1912386212,18.3683826316
100,1/4/2013 0:00:00,"11:00:00",6,228416.52,261519.82,-66.1644159409,18.3889714097
