id,date,time,incident_type,point_x,point_y,longitude,latitude
6133,3/25/2013 0:00:00,"14:30:00",6,149301.46,252369.78,-66.912887267,18.3058919736
6134,3/29/2013 0:00:00,"01:30:00",2,113565.95,256438.89,-67.2510752638,18.3415115606
6135,3/31/2013 0:00:00,"14:30:00",6,123748.92,265765.17,-67.1550842687,18.426157558
6136,3/31/2013 0:00:00,"13:40:00",6,115564.16,253073.06,-67.2320317973,18.3111820686
6137,3/29/2013 0:00:00,"09:50:00",5,120005.22,260440.67,-67.1903113494,18.3779163291
6138,3/31/2013 0:00:00,"09:00:00",5,136087.77,268715.80,-67.0383846899,18.4532190218
6139,3/4/2013 0:00:00,"14:10:00",5,129085.44,261894.63,-67.1044378979,18.39137219
6140,3/27/2013 0:00:00,"02:00:00",5,116935.27,253661.17,-67.2190861766,18.3165490532
6141,3/7/2013 0:00:00,"09:00:00",5,136759.30,258596.47,-67.0317143789,18.3618148129
6142,3/7/2013 0:00:00,"11:15:00",6,124373.19,265653.95,-67.1491712162,18.4251748732
6143,3/4/2013 0:00:00,"21:00:00",3,120202.23,260696.01,-67.1884570597,18.3802305769
6144,2/28/2013 0:00:00,"17:30:00",6,125696.49,267278.32,-67.136704836,18.4398966537
6145,3/6/2013 0:00:00,"12:00:00",5,137291.12,261046.52,-67.0267574794,18.383965803
6146,3/4/2013 0:00:00,"06:00:00",5,123007.26,262482.69,-67.1619807117,18.3964752006
6147,2/24/2013 0:00:00,"08:54:00",6,136453.59,261715.84,-67.0347039036,18.3899881793
6148,3/3/2013 0:00:00,"10:00:00",5,144927.55,257410.48,-66.9543952317,18.3513253414
6149,3/5/2013 0:00:00,"23:00:00",5,123192.41,258954.96,-67.160095998,18.3646101471
6150,3/3/2013 0:00:00,"11:00:00",6,136031.23,273915.91,-67.0390827917,18.5001977233
